Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210095,2021,1/31/2022,East Windsor,8E PASCO DR,"92,810.00","187,000.00",0.4963,Commercial,,,,,POINT (-72.612491724 41.908561138)
21150,2021,1/31/2022,Monroe,163 HIGHLAND DR,"130,300.00","259,250.00",0.5026,Residential,Condo,,CORRECTIVE DEED TO FOLLOW,,POINT (-73.194571004 41.363048019)
210481,2021,1/31/2022,New Britain,95B-6B CLINIC DR,"41,440.00","71,000.00",0.5836,Residential,Condo,,,,POINT (-72.78458404 41.64814299)
210718,2021,1/31/2022,Middletown,42 MIDDLEFIELD ST,"119,120.00","245,000.00",0.4862,Residential,Single Family,,,,POINT (-72.674026989 41.55079498)
210492,2021,1/31/2022,Bristol,129 CAROL DRIVE,"84,380.00","165,000.00",0.5113,Residential,Single Family,,,,POINT (-72.911598958 41.691023005)
21201,2021,1/31/2022,Farmington,14 STREAM COURT,"154,210.00","280,000.00",0.5507,Residential,Condo,,,,POINT (-72.875744027 41.731196)
2100114,2021,1/31/2022,East Hampton,41 DAY POINT RD,"488,680.00","795,000.00",0.6146,Residential,Single Family,,,,POINT (-72.496623002 41.587541998)
210226,2021,1/31/2022,Branford,25 FARM RIVER RD,"164,300.00","286,000.00",0.5744,Residential,Single Family,,,,POINT (-72.850478959 41.26076202)
210154,2021,1/31/2022,New Canaan,123 HEMLOCK HILL RD,"2,018,170.00","4,025,000.00",0.5014,Residential,Single Family,,,,POINT (-73.515249963 41.162546985)
210224,2021,1/31/2022,Branford,34 NEWTON RD,"141,200.00","223,000.00",0.6331,Residential,Single Family,,,,POINT (-72.799342979 41.265205015)
21000178,2021,1/31/2022,Cheshire,1022 SUMMIT RD,"201,130.00","199,500.00",1.0081,Residential,Single Family,08 - Part Interest,1/2 INTEREST,,POINT (-72.95595599 41.531345989)
210862,2021,1/31/2022,Bridgeport,355 RUTH ST,"134,860.00","225,000.00",0.599377778,Residential,Single Family,25 - Other,,SHORT SALE PER MLS,POINT (-73.217419988 41.20903302)
2121120,2021,1/31/2022,Ansonia,175 DIVISION ST,"133,100.00","357,000.00",0.3728,Residential,Two Family,,,,POINT (-73.089420029 41.337692007)
210861,2021,1/31/2022,Bridgeport,76 LYON TERRACE,"297,920.00","495,000.00",0.601858586,Commercial,,,,,POINT (-73.192592959 41.180925021)
210220,2021,1/31/2022,Glastonbury,30 STONY BROOK DR  7A3,"68,900.00","142,500.00",0.4835,Residential,Condo,,,,POINT (-72.571134014 41.719449014)
21183,2021,1/31/2022,Guilford,1231 MOOSE HILL RD,"285,920.00","450,000.00",0.6353,Residential,Single Family,,,,POINT (-72.720479999 41.295372993)
210561,2021,1/31/2022,Danbury,14 HIGHLAND AV,"146,700.00","335,000.00",0.4379,Residential,Single Family,,H13133,,POINT (-73.465286025 41.397898002)
210139,2021,1/31/2022,Killingly,59 BROAD ST,"111,860.00","187,500.00",0.596586667,Residential,Three Family,,,,POINT (-71.880553035 41.799574016)
210497,2021,1/31/2022,Bristol,367 VILLAGE STREET,"258,230.00","475,000.00",0.5436,Residential,Single Family,,,,POINT (-72.888513018 41.649211013)
21204,2021,1/31/2022,Farmington,36 WESTVIEW TERR,"219,640.00","461,000.00",0.4764,Residential,Single Family,,,,POINT (-72.877992975 41.743636002)
21000080,2021,1/31/2022,Granby,33 MOOSE HORN RD,"168,630.00","220,000.00",0.7665,Vacant Land,,,,,POINT (-72.892665986 41.986622005)
21037,2021,1/31/2022,Deep River,12 BELMONT AVE,"147,770.00","40,000.00",3.6942,Residential,Single Family,01 - Family,,,POINT (-72.431325965 41.379163988)
210128,2021,1/31/2022,Berlin,1035 WORTHINGTON RDG,"346,600.00","409,900.00",0.845572091,Residential,Single Family,,,,POINT (-72.746732036 41.615091009)
210568,2021,1/31/2022,Danbury,28 HUNTINGTON DR,"339,000.00","680,000.00",0.4985,Residential,Single Family,,F05065,,POINT (-73.483553963 41.444294016)
210563,2021,1/31/2022,Danbury,24 CLEARVIEW AV,"139,600.00","420,000.00",0.332380952,Residential,Single Family,07 - Change in Property,RENOVATIONS / K04071,,POINT (-73.433429009 41.447072994)
21147,2021,1/31/2022,Monroe,1 PERCHERON DR,"392,400.00","762,000.00",0.5149,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION 85% COMPLETE 10-1-21,,POINT (-73.222102035 41.362563)
210017,2021,1/31/2022,Lyme,108 ELY FERRY RD,"356,105.00","337,500.00",1.0551,Residential,Single Family,08 - Part Interest,FULL SALE VALUE $675000 (FAMILY SALE),,POINT (-72.418141969 41.420250441)
210366,2021,1/31/2022,Fairfield,253 RIVERSIDE AVENUE,"451,780.00","705,000.00",0.6408,Residential,Single Family,,,,POINT (-73.580464954 41.029008371)
210566,2021,1/31/2022,Danbury,14 SOUTH ST 4,"144,000.00","300,000.00",0.48,Residential,Condo,,K16126-4,,POINT (-73.427217013 41.382796998)
2100128,2021,1/31/2022,Madison,RACE HILL RD MBLU 139-22,"13,000.00","130,000.00",0.1,Vacant Land,,28 - Use Assessment,sale of land classified as  pa 490 open space,,POINT (-72.666316155 41.361932582)
210115,2021,1/31/2022,East Hampton,36 VIOLA DR,"264,400.00","500,000.00",0.5288,Residential,Single Family,,,,POINT (-72.487107028 41.578018983)
210574,2021,1/31/2022,Danbury,79 BRENTWOOD CI,"285,200.00","639,995.00",0.4456,Residential,Condo,,B16001-57,,POINT (-73.524607416 41.384614019)
210101,2021,1/31/2022,Derby,7F MAPLEWOOD CONDOS,"109,830.00","195,000.00",0.5632,Residential,Condo,,,,POINT (-73.089654588 41.332626576)
210094,2021,1/31/2022,East Windsor,5 ALLEN DR,"166,430.00","393,000.00",0.4234,Residential,Single Family,,,,POINT (-72.569986029 41.893819003)
21039,2021,1/31/2022,Deep River,6 WESTBROOK RD,"218,610.00","106,250.00",2.0575,Vacant Land,,06 - Portion of Property,,,POINT (-72.489289005 41.361251986)
210030,2021,1/31/2022,Middlefield,286 JACKSON HILL RD,"198,200.00","287,000.00",0.6905,Residential,Single Family,01 - Family,,,POINT (-72.71257402 41.525786985)
210863,2021,1/31/2022,Bridgeport,950 STATE ST,"341,210.00","525,000.00",0.6499,Residential,Four Family,,,,POINT (-73.202443036 41.17280698)
21041,2021,1/31/2022,Durham,90 CAMERA RD,"150,500.00","289,000.00",0.5207,Residential,Single Family,,,,POINT (-72.731449982 41.426989996)
2100244,2021,1/31/2022,Naugatuck,89 WEID DR,"3,360,000.00","8,429,003.00",0.3986,Commercial,,,,,POINT (-73.034096031 41.467263993)
210105,2021,1/31/2022,Mansfield,93 MOULTON RD,"115,100.00","110,000.00",1.0463,Residential,Single Family,25 - Other,NOT ON MLS  - NOT ARMS LENGTH SALE,,POINT (-72.256702004 41.825230979)
2100239,2021,1/31/2022,Naugatuck,84 JOHNSON ST,"87,810.00","220,000.00",0.3991,Residential,Single Family,,,,POINT (-73.045913006 41.491443981)
210225,2021,1/31/2022,Branford,144 STONY CREEK RD,"206,400.00","430,000.00",0.48,Residential,Single Family,,,,POINT (-72.762730994 41.282762001)
21125,2021,1/31/2022,Darien,93 GARDINER ST,"764,330.00","1,490,000.00",0.5129,Residential,Single Family,,,,POINT (-73.497289975 41.065834994)
210073,2021,1/31/2022,Canton,67 BRIDGE STREET,"158,220.00","300,000.00",0.5274,Residential,Two Family,,,,POINT (-72.927884996 41.809938993)
210493,2021,1/31/2022,Bristol,"1469 FARMINGTON AVE., UNIT 80","83,580.00","175,000.00",0.4776,Residential,Condo,,,,POINT (-72.895926979 41.70202002)
210419,2021,1/31/2022,Hamden,81 HIDEAWAY LA,"196,770.00","300,000.00",0.6559,Residential,Single Family,,,,POINT (-72.944606977 41.418454997)
210480,2021,1/31/2022,New Britain,74 TREMONT ST,"88,900.00","195,000.00",0.4558,Residential,Single Family,,,,POINT (-72.778067027 41.675846983)
210094,2021,1/31/2022,Litchfield,35 HIGH BRIDGE RD,"216,610.00","495,000.00",0.4375,Residential,Single Family,,,,POINT (-73.227435021 41.721439004)
21151,2021,1/31/2022,Bethel,82 STONY HILL ROAD,"685,020.00","1,467,900.00",0.466666667,Commercial,,25 - Other,,2ND SALE WITHIN ONE WEEK - ALSO SEE #21150,POINT (-73.377218038 41.414255999)
210188,2021,1/31/2022,Harwinton,65 SOUTH RD,"233,750.00","500,000.00",0.4675,Residential,Single Family,,,,POINT (-73.060516963 41.766857017)
21056,2021,1/31/2022,Lebanon,130 CARD ST,"143,970.00","87,500.00",1.6453,Residential,Single Family,08 - Part Interest,,,POINT (-72.234781986 41.699588011)
210496,2021,1/31/2022,Bristol,83 FOUNDERS DRIVE,"58,170.00","150,000.00",0.3878,Vacant Land,,,,,POINT (-72.933066412 41.67852746)
21152,2021,1/31/2022,Bethel,37 PAYNE ROAD,"228,828.00","500,000.00",0.457656,Residential,Single Family,,,,POINT (-73.401453976 41.401518984)
210570,2021,1/31/2022,Danbury,68 MAIN ST,"311,100.00","365,000.00",0.8523,Commercial,,,I15307,,POINT (-73.447992985 41.389617017)
210140,2021,1/31/2022,Killingly,1089 DAVIS AVE,"97,090.00","210,000.00",0.4623,Residential,Single Family,,,,POINT (-71.882712968 41.821859987)
21042,2021,1/31/2022,Durham,19 SIDE HILL RD,"180,810.00","200,000.00",0.904,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-72.723924961 41.444752003)
21038,2021,1/31/2022,Deep River,6 WESTBROOK RD,"218,610.00","106,250.00",2.0575,Vacant Land,,06 - Portion of Property,,,POINT (-72.489289005 41.361251986)
210129,2021,1/31/2022,Berlin,11 CYPRESS CIRCLE,"155,300.00","270,500.00",0.5741,Residential,Condo,,,,POINT (-72.761115969 41.584869009)
210479,2021,1/31/2022,New Britain,280 CHAPMAN ST,"74,830.00","185,000.00",0.4044,Residential,Single Family,,,,POINT (-72.76116802 41.670647018)
21078,2021,1/31/2022,East Haddam,15 CONN RIVER RD,"108,750.00","250,000.00",0.435,Residential,Single Family,,,,POINT (-72.423786983 41.425321153)
210018,2021,1/31/2022,Lyme,108 ELY FERRY RD,"356,105.00","337,500.00",1.0551,Residential,Single Family,08 - Part Interest,FULL SALE VALUE $675000 (FAMILY SALE),,POINT (-72.418141969 41.420250441)
210569,2021,1/31/2022,Danbury,17 WHALEY ST,"146,900.00","210,000.00",0.6995,Residential,Single Family,,G14214,,POINT (-73.467833034 41.395579987)
21148,2021,1/31/2022,Monroe,110 MILL BROOK TER,"257,700.00","442,500.00",0.5823,Residential,Single Family,,,,POINT (-73.207882975 41.34089599)
21000177,2021,1/31/2022,Cheshire,60 WINDING TRAIL LANE,"357,870.00","739,900.00",0.4836,Residential,Single Family,,,,POINT (-72.924611025 41.480925992)
2100242,2021,1/31/2022,Naugatuck,13 RIDGE RD #8,"56,970.00","130,000.00",0.4382,Residential,Condo,,,,POINT (-73.063772997 41.508678012)
21000180,2021,1/31/2022,Cheshire,827 ROARING BROOK RD,"285,490.00","570,500.00",0.5004,Residential,Single Family,,,,POINT (-72.933705977 41.481981986)
210015,2021,1/31/2022,Lyme,54 COVE RD,"405,100.00","337,500.00",1.200296296,Residential,Single Family,08 - Part Interest,FULL SALE VALUE $675000 (FAMILY SALE),,POINT (-72.355281986 41.378793005)
210157,2021,1/31/2022,Ledyard,39-26 ASH DR,"63,000.00","139,900.00",0.4503,Residential,Condo,,,,POINT (-72.040578989 41.430924)
210139,2021,1/31/2022,Cromwell,10 WOODLAND DRIVE,"60,690.00","120,000.00",0.5057,Residential,Condo,,,,POINT (-72.676675 41.613984011)
210116,2021,1/31/2022,East Hampton,14 MALLARD,"115,080.00","235,000.00",0.489702128,Residential,Condo,25 - Other,MULTIPLE PARCELS,,POINT (-72.503161976 41.584949015)
2100129,2021,1/31/2022,Madison,21 SQUIRES RD,"204,800.00","350,000.00",0.5851,Residential,Single Family,,,,POINT (-72.64924497 41.348228981)
21077,2021,1/31/2022,East Haddam,93 EH COLCHESTER TPKE,"114,670.00","285,000.00",0.4023,Residential,Single Family,,,,POINT (-72.402256551 41.512322578)
210365,2021,1/31/2022,Fairfield,2093 POST ROAD,"1,305,920.00","2,798,400.00",0.4666,Commercial,,,,,POINT (-73.268713967 41.140240981)
210106,2021,1/31/2022,Mansfield,1A WHITE OAK CONDOS,"39,300.00","74,000.00",0.531,Residential,Condo,,NOT ON MLS,,POINT (-72.250352203 41.771677769)
210103,2021,1/31/2022,New Fairfield,55 ROCKY HILL RD,"157,700.00","399,000.00",0.3952,Residential,Single Family,07 - Change in Property,ASSESSMENT CHANGE DUE TO CONSTRUCTION,,POINT (-73.489491033 41.504858002)
210562,2021,1/31/2022,Danbury,68 VIRGINIA AV 8,"140,700.00","290,000.00",0.4851,Residential,Condo,,I11141-8,,POINT (-73.447567017 41.407786008)
210573,2021,1/31/2022,Danbury,95 PARK AV 5,"160,900.00","300,000.00",0.5363,Residential,Condo,,H16034-5,,POINT (-73.464338031 41.384611009)
210103,2021,1/31/2022,Derby,2 HAROLD AVE,"134,400.00","275,000.00",0.4887,Residential,Single Family,,,,POINT (-73.053212973 41.316531012)
21184,2021,1/31/2022,Guilford,23 EDGEHILL RD,"149,230.00","275,000.00",0.5426,Residential,Single Family,,,,POINT (-72.737983005 41.341130012)
210720,2021,1/31/2022,Middletown,142 LINCOLN ST,"136,260.00","212,000.00",0.6427,Residential,Three Family,08 - Part Interest,,,POINT (-72.657396036 41.56182699)
210068,2021,1/31/2022,Brooklyn,50 BAILEY ST,"81,200.00","240,000.00",0.3383,Residential,Single Family,,,,POINT (-71.895635012 41.796677984)
210222,2021,1/31/2022,Glastonbury,111 HALE RD,"208,100.00","350,000.00",0.5945,Residential,Single Family,,,,POINT (-72.569007023 41.698065019)
21123,2021,1/31/2022,Darien,2636 BOSTON POST RD,"422,520.00","850,000.00",0.497,Residential,Single Family,,,,POINT (-73.503922641 41.059774729)
21124,2021,1/31/2022,Darien,7 MCLAREN ROAD SOUTH,"839,930.00","2,250,000.00",0.3733,Residential,Single Family,,,,POINT (-73.474204034 41.083964003)
21022,2021,1/31/2022,Barkhamsted,11 HARNESS DR,"222,760.00","490,000.00",0.4546,Residential,Single Family,,"1999 Colonial, 2464 SFLA, 3.62 AC",,POINT (-73.02001502 41.933593984)
210495,2021,1/31/2022,Bristol,"1469 FARMINGTON AVE., UNIT 37","94,850.00","195,000.00",0.4864,Residential,Condo,,,,POINT (-72.895926979 41.70202002)
21149,2021,1/31/2022,Monroe,562 PEPPER ST,"136,800.00","234,600.00",0.583120205,Residential,Single Family,,,,POINT (-73.256301961 41.348451018)
210154,2021,1/31/2022,Ledyard,6 BITTERSWEET DR,"259,210.00","410,000.00",0.6322,Residential,Single Family,,,,POINT (-72.056216016 41.46500201)
2100241,2021,1/31/2022,Naugatuck,142 MARGARET CIR,"155,220.00","365,000.00",0.4252,Residential,Single Family,,,,POINT (-73.012304005 41.465550983)
21306,2021,1/31/2022,Bethel,27 GREAT HILL DRIVE,"265,179.00","520,642.00",0.5093,Residential,Condo,07 - Change in Property,,,POINT (-73.412932993 41.386987991)
2100243,2021,1/31/2022,Naugatuck,103 GREENWOOD ST,"106,020.00","297,970.00",0.355807632,Residential,Single Family,07 - Change in Property,,PER MLS INCLUDES UPDATED KITCHEN AND FINISHED BASEMENT AREA,POINT (-73.047943019 41.504445989)
210130,2021,1/31/2022,Berlin,816 FOUR ROD RD UNIT 1C,"111,300.00","176,000.00",0.6323,Industrial,,,,,POINT (-72.766149972 41.609318015)
210097,2021,1/31/2022,East Windsor,16 NORTH MAIN ST,"70,160.00","195,000.00",0.3597,Residential,Single Family,,,,POINT (-72.617554 41.933859983)
210571,2021,1/31/2022,Danbury,95 PARK AV 7,"98,000.00","218,000.00",0.4495,Residential,Condo,,H16034-7,,POINT (-73.464338031 41.384611009)
210016,2021,1/31/2022,Lyme,54 COVE RD,"405,100.00","337,500.00",1.200296296,Residential,Single Family,08 - Part Interest,FULL SALE VALUE $675000 (FAMILY SALE),,POINT (-72.355281986 41.378793005)
21202,2021,1/31/2022,Farmington,4 GRANDVIEW DR UNIT 49D,"53,460.00","109,000.00",0.4904,Residential,Condo,,,,POINT (-72.850069891 41.740453328)
21055,2021,1/31/2022,Lebanon,130 CARD ST,"143,970.00","87,500.00",1.645371429,Residential,Single Family,08 - Part Interest,,,POINT (-72.234781986 41.699588011)
21011,2021,1/31/2022,Franklin,31 PAUTIPAUG HILL RD,"221,230.00","470,000.00",0.4707,Residential,Single Family,,,,POINT (-72.114863019 41.62807399)
210418,2021,1/31/2022,Hamden,45 KELLY RD,"143,360.00","265,000.00",0.5409,Residential,Single Family,,,,POINT (-72.925505961 41.418999988)
210559,2021,1/31/2022,Danbury,41 WILKES RD,"199,800.00","420,000.00",0.4757,Residential,Single Family,,G03048,,POINT (-73.472173015 41.453896994)
210138,2021,1/31/2022,Cromwell,161 WOODLAND DRIVE,"60,130.00","122,000.00",0.4928,Residential,Condo,,,,POINT (-72.677661969 41.615158986)
21083,2021,1/31/2022,Burlington,713 GEO WASHINGTON TPKE,"890,750.00","1,325,000.00",0.6722,Industrial,,,COMMERCIAL BUILDING,,POINT (-72.961352008 41.765698009)
21033,2021,1/31/2022,Canterbury,42 WILLOWBROOK LN,"178,300.00","365,000.00",0.488493151,Residential,Single Family,,,,POINT (-72.009739034 41.718036999)
210151,2021,1/31/2022,Bloomfield,1264 BLUE HILLS AVE,"133,180.00","295,000.00",0.4514,Residential,Single Family,,,,POINT (-72.70183697 41.851391989)
210364,2021,1/31/2022,Fairfield,100 KNAPPS HIGHWAY UNIT 33,"100,800.00","175,000.00",0.576,Residential,Condo,,,,POINT (-73.233194927 41.185334444)
210092,2021,1/31/2022,Coventry,1194 CEDAR SWAMP RD,"67,400.00","449,060.00",0.150091302,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.409235962 41.825794998)
210102,2021,1/31/2022,Derby,1 BIRMINGHAM CONDO,"171,010.00","229,000.00",0.7467,Residential,Single Family,,,,POINT (-73.089 41.32065)
210156,2021,1/31/2022,Ledyard,52 STONYBROOK RD,"115,430.00","40,000.00",2.8857,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-72.060533032 41.462257985)
2100240,2021,1/31/2022,Naugatuck,32 WILSON ST,"92,650.00","234,000.00",0.3959,Residential,Single Family,,,,POINT (-73.041848034 41.505415985)
210719,2021,1/31/2022,Middletown,19 TROLLEY CROSSING LA,"50,630.00","105,000.00",0.4821,Residential,Condo,,,,POINT (-72.698104936 41.598354514)
210223,2021,1/31/2022,Branford,45 HARRISON AVE,"666,300.00","1,947,000.00",0.3422,Commercial,,,APTS/OFFICES,,POINT (-72.813676034 41.282271995)
21000179,2021,1/31/2022,Cheshire,1022 SUMMIT RD,"201,130.00","199,500.00",1.0081,Residential,Single Family,08 - Part Interest,1/2 INTEREST,,POINT (-72.95595599 41.531345989)
210067,2021,1/31/2022,Brooklyn,7 PUTNAM PLACE,"184,800.00","275,000.00",0.672,Commercial,,,,,POINT (-71.951160008 41.78766002)
21079,2021,1/31/2022,East Haddam,309 TATER HILL RD,420,"55,000.00",0.0076,Vacant Land,,28 - Use Assessment,,,POINT (-72.361171028 41.46773602)
210565,2021,1/31/2022,Danbury,188-190 TRIANGLE ST,"216,100.00","530,000.00",0.4077,Residential,Two Family,,K13145,,POINT (-73.430653007 41.398965019)
210572,2021,1/31/2022,Danbury,3 GOLDEN HILL RD,"174,600.00","343,000.00",0.509,Residential,Single Family,,H12085,,POINT (-73.462740022 41.40588801)
210155,2021,1/31/2022,Ledyard,51 HARVARD TER,"196,233.00","360,000.00",0.545,Residential,Single Family,,,,POINT (-72.084127 41.423743014)
210096,2021,1/31/2022,East Windsor,238 MAIN ST,"70,620.00","175,000.00",0.4035,Residential,Single Family,07 - Change in Property,RENOVATIONS AFTER 10/1,,POINT (-72.615791034 41.91989502)
210017,2021,1/31/2022,Morris,107 LOOKING GLASS HILL RD,"235,940.00","559,500.00",0.4216,Residential,Single Family,,,,POINT (-73.258045983 41.707437998)
210567,2021,1/31/2022,Danbury,E PEMBROKE RD,"41,800.00","90,000.00",0.4644,Vacant Land,,,H07001,,POINT (-73.461687031 41.423915136)
210138,2021,1/31/2022,Killingly,42 MECHANIC ST & 26 OAK ST,"141,720.00","175,000.00",0.8098,Industrial,,25 - Other,TRANSFER INCLUDES 2 PARCELS,,POINT (-71.883689962 41.807440013)
21000079,2021,1/31/2022,Granby,11 SCHOOLHOUSE RD,"58,730.00","119,900.00",0.4898,Vacant Land,,,,,POINT (-72.779387365 41.974187273)
210221,2021,1/31/2022,Glastonbury,30 STONY BROOK DR  7B6,"71,200.00","142,500.00",0.4996,Residential,Condo,,,,POINT (-72.571134014 41.719449014)
21182,2021,1/31/2022,Guilford,149 WEST LANE,"1,269,170.00","2,350,000.00",0.54,Vacant Land,,,,,POINT (-72.687200994 41.251465986)
210107,2021,1/31/2022,Mansfield,365 WARRENVILLE RD,"122,200.00","300,000.00",0.4073,Residential,Single Family,,,,POINT (-72.180497009 41.78617701)
210494,2021,1/31/2022,Bristol,13 ROBERTSON STREET,"64,960.00","107,000.00",0.6071,Residential,Condo,,,,POINT (-72.894884019 41.680153018)
210417,2021,1/31/2022,Hamden,25 HAMDEN HILLS DR U37,"158,620.00","250,000.00",0.6344,Residential,Condo,,,,POINT (-72.907711013 41.388031999)
21084,2021,1/31/2022,Burlington,72 MONCE RD,"159,320.00","355,000.00",0.4487,Residential,Single Family,,,,POINT (-72.907195023 41.740382985)
210560,2021,1/31/2022,Danbury,1 RIVINGTON WA 106,"204,100.00","458,333.00",0.4453,Residential,Condo,,B15001-1-106,,POINT (-73.535854022 41.388328006)
210135,2021,1/31/2022,Avon,15 WYNGATE DRIVE,"362,670.00","460,000.00",0.7884,Residential,Single Family,25 - Other,NOT OPEN MARKET,,POINT (-72.867877024 41.79794801)
21203,2021,1/31/2022,Farmington,189 NEW BRITAIN AV,"77,570.00","175,000.00",0.4432,Residential,Condo,,THIS IS A FREE STANDING THE(UNIT ONLY 1 IN COMPLEX),,POINT (-72.879222013 41.752636992)
210564,2021,1/31/2022,Danbury,163 SOUTH ST 7,"81,700.00","150,000.00",0.5446,Residential,Condo,,I16168-7,,POINT (-73.446478962 41.386059989)
210150,2021,1/31/2022,Bloomfield,9 BARN HILL ROAD,"166,530.00","265,000.00",0.6284,Residential,Single Family,,,,POINT (-72.758814969 41.854079017)
210359,2021,1/31/2022,Torrington,224 LITCHFIELD ST,"156,880.00","160,000.00",0.9805,Residential,Four Family,,PROPERTY HAS 3-FAMILY HOUSE & SINGLE-FAMILY HOUSE,,POINT (-73.125469002 41.796732006)
21170,2021,1/31/2022,Ridgefield,144 SILVER SPRING LA,"325,200.00","625,000.00",0.5203,Residential,Single Family,07 - Change in Property,,,POINT (-73.496364026 41.247625021)
21137,2021,1/31/2022,Stafford,9 SARTORI RD,"40,180.00","45,000.00",0.8928,Vacant Land,,25 - Other,NOT OPEN MARKET,,POINT (-72.25065185 41.995492379)
210226,2021,1/31/2022,South Windsor,567 DEMING ST,"254,900.00","551,000.00",0.4626,Residential,Single Family,,,,POINT (-72.536931575 41.815159159)
210448,2021,1/31/2022,New Haven,99 & 109 WATER ST,"1,229,382.00","1,500,000.00",0.8195,Commercial,,,,,POINT (-72.917742977 41.30105299)
210206,2021,1/31/2022,Newington,33 ELTON DR,"129,420.00","275,000.00",0.4706,Residential,Single Family,,,,POINT (-72.728155978 41.703270013)
210043,2021,1/31/2022,New Hartford,HELEN HIGHWAY,"3,780.00","5,000.00",0.756,Vacant Land,,12 - Non Buildable Lot,MBL 09A/101/030 - LOT 177 MAP #285,,POINT (-73.031478795 41.885874385)
2100854,2021,1/31/2022,Stamford,17 ROSE PARK AVENUE,"236,690.00","435,000.00",0.5441,Residential,Two Family,,,,POINT (-73.547592039 41.048591994)
210837,2021,1/31/2022,Waterbury,59 OAKRIDGE RD,"74,720.00","210,000.00",0.3558,Residential,Single Family,,,,POINT (-73.011700005 41.529589017)
210029,2021,1/31/2022,Pomfret,52 PUTNAM RD,"205,800.00","440,000.00",0.4677,Residential,Single Family,25 - Other,H0065200 OUT OF ESTATE,,POINT (-71.957290029 41.896977011)
21182,2021,1/31/2022,Southbury,HILLSIDE RD,"2,330.00","15,000.00",0.1553,Vacant Land,,12 - Non Buildable Lot,,,POINT (-73.253437489 41.44335627)
210082,2021,1/31/2022,Portland,399 MAIN ST,"170,030.00","255,000.00",0.6667,Residential,Single Family,,038-0219,,POINT (-72.632600019 41.582453009)
2100851,2021,1/31/2022,Stamford,0 HARBOR DRIVE DOCK A-2,"11,470.00","28,000.00",0.4096,Residential,Condo,,,,POINT (-73.529858872 41.037214499)
210843,2021,1/31/2022,Waterbury,538 LAKESIDE BLVD WEST,"189,290.00","315,000.00",0.6009,Residential,Single Family,,,,POINT (-73.087667959 41.550037005)
210841,2021,1/31/2022,Waterbury,12 CHRISTIAN HILL RD,"90,700.00","139,000.00",0.652517986,Residential,Single Family,,,,POINT (-73.018067988 41.520356015)
21135,2021,1/31/2022,Plainfield,18 VICTORIA DR,"175,850.00","178,300.00",0.986259114,Residential,Single Family,01 - Family,,,POINT (-71.869552039 41.72011898)
210169,2021,1/31/2022,Simsbury,5 DEERFIELD LANE,"209,340.00","378,000.00",0.5538,Residential,Single Family,,,,POINT (-72.829237037 41.850788995)
210168,2021,1/31/2022,Simsbury,15 BANTRY ROAD,"270,250.00","533,000.00",0.507,Residential,Condo,,PUD,,POINT (-72.824034976 41.857993995)
2100129,2021,1/31/2022,Seymour,224 WOODLAWN DR,"210,000.00","370,000.00",0.5675,Residential,Condo,,,,POINT (-73.098309959 41.397733004)
210583,2021,1/31/2022,Southington,8 FOREST ST (TP),"64,730.00","130,000.00",0.4979,Residential,Single Family,,,,POINT (-72.882926982 41.637086003)
21181,2021,1/31/2022,Southbury,7 GREENWICH DR,"126,980.00","202,000.00",0.6286,Residential,Single Family,25 - Other,ALSO INCLUDES GREENWICH DR  UID 00233900,,POINT (-73.246171006 41.444235007)
21018,2021,1/31/2022,Voluntown,61 TEN ROD RD,"102,620.00","78,179.00",1.312628711,Residential,Single Family,25 - Other,NOT A VALID SALE,,POINT (-71.812923985 41.577156988)
2100436,2021,1/31/2022,Stratford,215 LARKIN COURT,"84,270.00","145,000.00",0.5811,Residential,Single Family,,HALF DUPLEX,,POINT (-73.138869988 41.173539013)
210205,2021,1/31/2022,Newington,21 SUNRISE CIR,"92,740.00","205,000.00",0.4523,Residential,Condo,,,,POINT (-72.753088033 41.674709014)
21139,2021,1/31/2022,Plainfield,STERLING HILL RD,"47,750.00","45,000.00",1.0611,Vacant Land,,06 - Portion of Property,,,POINT (-71.848029915 41.693747152)
210028,2021,1/31/2022,North Canaan,33 OLD TURNPIKE S,"106,360.00","349,000.00",0.304756447,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-73.257615992 42.010417982)
210621,2021,1/31/2022,Norwalk,96 SHOREFRONT PARK,"507,700.00","680,000.00",0.7466,Residential,Single Family,,2-86-41-0,,POINT (-73.412448016 41.089463998)
210833,2021,1/31/2022,Waterbury,438 COLUMBIA BLVD,"66,100.00","223,000.00",0.296412556,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-73.04635096 41.578324)
2100858,2021,1/31/2022,Stamford,536 RIVERBANK ROAD,"1,159,520.00","1,800,000.00",0.6441,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-73.593882021 41.109932019)
210363,2021,1/31/2022,Torrington,204 GREENRIDGE RD,"113,570.00","220,000.00",0.5162,Residential,Single Family,,,,POINT (-73.084949038 41.816014993)
